episode,timestep,reward
264,2000,-166.2121
532,4000,-165.2537
800,6000,-167.4963
1062,8000,-160.0229
1328,10000,-158.906
1585,12000,-156.5486
1840,14000,-156.6039
2102,16000,-160.3092
2360,18000,-154.1705
2619,20000,-156.6834
2876,22000,-148.6537
3137,24000,-150.41
3395,26000,-147.3837
3647,28000,-143.869
3897,30000,-141.82
4149,32000,-143.0516
4410,34000,-144.3563
4659,36000,-138.3855
4915,38000,-150.2266
5172,40000,-137.8366
5423,42000,-141.3386
5678,44000,-142.3098
5928,46000,-133.652
6180,48000,-134.504
6434,50000,-135.6181
6689,52000,-135.149
6945,54000,-133.5039
7198,56000,-135.083
7451,58000,-134.6798
7703,60000,-130.7738
7950,62000,-132.0688
8200,64000,-133.12
8450,66000,-123.304
8696,68000,-124.9228
8945,70000,-125.8795
9195,72000,-126.224
9450,74000,-126.1569
9701,76000,-127.004
9956,78000,-128.2588
10208,80000,-125.2698
10459,82000,-120.4104
10711,84000,-127.1667
10967,86000,-126.8047
11220,88000,-121.5573
11478,90000,-124.5814
11734,92000,-124.7617
11987,94000,-120.0553
12242,96000,-123.6314
12496,98000,-126.9685
12749,100000,-121.668
13003,102000,-118.689
13254,104000,-120.5936
13509,106000,-121.7569
13763,108000,-123.2362
14025,110000,-122.813
14282,112000,-119.8132
14538,114000,-121.9688
14799,116000,-118.8889
15056,118000,-120.9611
15313,120000,-120.5798
15568,122000,-119.9765
15827,124000,-118.8649
16084,126000,-120.3658
16343,128000,-119.1467
16598,130000,-119.4078
16857,132000,-118.9653
17117,134000,-118.5231
17377,136000,-120.5077
17634,138000,-118.5992
17895,140000,-122.3563
18157,142000,-121.4695
18418,144000,-118.7548
18678,146000,-116.2115
18935,148000,-120.7938
19195,150000,-121.4769
19454,152000,-114.5328
19712,154000,-116.3837
19972,156000,-118.9654
20236,158000,-118.0417
20497,160000,-118.1992
20759,162000,-120.1908
21018,164000,-119.4672
21281,166000,-116.4563
21546,168000,-116.7208
21806,170000,-117.85
22063,172000,-117.8755
22325,174000,-116.9008
22584,176000,-117.4324
22845,178000,-115.7088
23108,180000,-115.4183
23367,182000,-115.6641
23629,184000,-117.771
23887,186000,-117.4884
24146,188000,-118.2819
24409,190000,-116.4563
24672,192000,-116.0837
24932,194000,-116.1577
25190,196000,-116.2829
25453,198000,-117.8289
25712,200000,-115.3784
25972,202000,-113.9269
26232,204000,-114.6923
26491,206000,-113.1931
26751,208000,-114.6769
27007,210000,-112.3047
27266,212000,-117.1892
27528,214000,-118.1221
27789,216000,-116.7625
28049,218000,-112.9269
28311,220000,-116.2519
28570,222000,-116.9614
28829,224000,-118.0232
29089,226000,-112.0423
29349,228000,-114.7577
29611,230000,-115.4122
29875,232000,-112.7879
30137,234000,-115.5611
30399,236000,-113.4046
30659,238000,-112.7962
30923,240000,-112.1061
31186,242000,-115.2966
31449,244000,-115.1635
31709,246000,-113.0885
31971,248000,-113.7252
32234,250000,-112.1369
32497,252000,-113.8517
32755,254000,-112.9729
33013,256000,-113.1783
33273,258000,-114.8577
33533,260000,-114.2923
33795,262000,-111.5611
34054,264000,-112.4517
34314,266000,-113.8423
34576,268000,-110.1641
34838,270000,-112.0611
35097,272000,-110.2819
35354,274000,-110.6809
35617,276000,-109.4905
35877,278000,-108.9346
36139,280000,-109.1489
36401,282000,-110.2099
36663,284000,-110.1221
36925,286000,-109.4733
37189,288000,-108.1402
37450,290000,-111.2222
37713,292000,-110.6958
37971,294000,-108.2481
38233,296000,-107.729
38491,298000,-109.314
38754,300000,-111.1825
39017,302000,-106.8631
39280,304000,-107.0418
39543,306000,-108.7947
39806,308000,-105.6122
40070,310000,-107.8144
40331,312000,-107.6054
40593,314000,-108.2099
40855,316000,-108.3626
41118,318000,-107.5399
41380,320000,-104.3817
41643,322000,-108.1027
41908,324000,-104.4566
42173,326000,-105.9321
42435,328000,-103.9809
42696,330000,-105.8582
42960,332000,-103.9053
43222,334000,-105.4275
43486,336000,-103.0492
