episode,timestep,reward
25,200,-137.6
50,400,-128.08
76,600,-118.9615
102,800,-136.0
128,1000,-127.2692
153,1200,-118.12
178,1400,-108.36
204,1600,-132.2692
229,1800,-124.04
254,2000,-104.68
279,2200,-104.08
305,2400,-114.6154
330,2600,-105.92
355,2800,-117.12
380,3000,-103.76
406,3200,-98.6923
433,3400,-114.1111
460,3600,-96.037
486,3800,-94.3462
513,4000,-96.8889
538,4200,-98.6
565,4400,-84.8148
593,4600,-113.5
619,4800,-88.0769
646,5000,-88.963
673,5200,-86.6296
701,5400,-87.1786
728,5600,-80.3704
756,5800,-89.8571
784,6000,-75.1786
812,6200,-82.2857
840,6400,-87.25
868,6600,-75.2143
896,6800,-77.3929
924,7000,-71.2143
954,7200,-89.8333
982,7400,-69.6786
1010,7600,-69.0
1038,7800,-70.1429
1066,8000,-69.6786
1095,8200,-67.8621
1124,8400,-80.9655
1153,8600,-74.7931
1181,8800,-68.6071
1209,9000,-65.7857
1238,9200,-66.4828
1266,9400,-67.5714
1295,9600,-72.1034
1323,9800,-67.0357
1352,10000,-66.5517
1381,10200,-66.4828
1409,10400,-66.7857
1437,10600,-64.6786
1466,10800,-66.9655
1494,11000,-65.7143
1522,11200,-64.4643
1551,11400,-62.6897
1579,11600,-63.0357
1608,11800,-64.1724
1637,12000,-62.069
1665,12200,-64.3214
1694,12400,-63.3448
1722,12600,-63.3929
1751,12800,-69.3448
1780,13000,-63.0
1808,13200,-63.1429
1837,13400,-62.5862
1865,13600,-62.6786
1894,13800,-65.4483
1923,14000,-62.1034
1951,14200,-63.3929
1980,14400,-62.5517
2008,14600,-62.2857
2037,14800,-62.9655
2066,15000,-66.4483
2094,15200,-61.75
2123,15400,-61.3103
2151,15600,-61.3929
2180,15800,-61.2759
2208,16000,-64.1071
2237,16200,-60.0
2265,16400,-62.5714
2294,16600,-61.6897
2323,16800,-63.0
2351,17000,-62.2857
2379,17200,-61.3929
2407,17400,-61.8214
2435,17600,-65.7857
2463,17800,-61.8214
2492,18000,-72.8966
2520,18200,-63.6786
2548,18400,-63.5714
2576,18600,-62.75
2604,18800,-71.7857
2632,19000,-68.8929
2660,19200,-61.7143
2688,19400,-61.8214
2716,19600,-61.5
2743,19800,-64.5926
2770,20000,-60.0
2796,20200,-69.8462
2823,20400,-60.9259
2849,20600,-63.5385
2876,20800,-62.5185
2903,21000,-61.8889
2930,21200,-68.1481
2956,21400,-63.9615
2985,21600,-68.7241
3010,21800,-61.32
3035,22000,-68.52
3062,22200,-65.4815
3088,22400,-62.6923
3114,22600,-61.5385
3141,22800,-63.1852
3167,23000,-68.8077
3193,23200,-60.6923
3219,23400,-71.0769
3245,23600,-63.6154
3271,23800,-67.6154
3297,24000,-62.3462
3323,24200,-61.7692
3350,24400,-60.4815
3376,24600,-68.1154
3403,24800,-62.2222
3430,25000,-61.5926
3457,25200,-61.7778
3485,25400,-60.4286
3512,25600,-60.8889
3540,25800,-61.4643
3566,26000,-63.5385
3594,26200,-61.5357
3621,26400,-61.2963
3649,26600,-60.8571
3675,26800,-62.9615
3702,27000,-60.4444
3730,27200,-68.4286
3758,27400,-68.0357
3786,27600,-61.8214
3813,27800,-60.0
3841,28000,-67.1071
3869,28200,-61.3214
3897,28400,-61.3214
3925,28600,-60.4286
3951,28800,-64.5769
3978,29000,-70.9259
4006,29200,-68.8214
4033,29400,-61.037
4061,29600,-80.0357
4089,29800,-60.8571
4116,30000,-68.2593
4143,30200,-60.8889
4171,30400,-60.6071
4199,30600,-60.9286
4227,30800,-60.0
4254,31000,-61.4815
4281,31200,-69.3333
4309,31400,-61.75
4336,31600,-61.0741
4364,31800,-62.6786
4391,32000,-60.5926
4417,32200,-60.5
4443,32400,-61.5
4470,32600,-60.6296
4497,32800,-60.6296
4524,33000,-60.0
4551,33200,-60.1481
4578,33400,-60.0
4607,33600,-72.069
4634,33800,-60.8889
4662,34000,-59.9643
4689,34200,-59.963
