episode,timestep,reward
31,200,-227.3487
62,400,-206.4539
94,600,-236.0856
121,800,-161.6881
150,1000,-174.5
178,1200,-152.8021
207,1400,-193.9759
236,1600,-183.5052
264,1800,-171.6921
291,2000,-164.7096
321,2200,-154.2717
347,2400,-168.0481
376,2600,-174.4366
404,2800,-172.0204
434,3000,-161.3243
462,3200,-155.3979
491,3400,-169.3779
520,3600,-164.8038
550,3800,-150.0967
579,4000,-169.8976
609,4200,-154.4187
638,4400,-166.8069
669,4600,-149.8929
699,4800,-146.603
729,5000,-170.4883
759,5200,-150.5833
789,5400,-158.7097
818,5600,-149.4441
850,5800,-138.1828
881,6000,-148.0668
910,6200,-152.2848
942,6400,-145.5984
974,6600,-146.9728
1006,6800,-155.7103
1036,7000,-147.2153
1067,7200,-147.5848
1098,7400,-134.3587
1130,7600,-136.5722
1161,7800,-168.8661
1193,8000,-143.4469
1224,8200,-142.6413
1256,8400,-143.1263
1288,8600,-129.7459
1321,8800,-149.4439
1352,9000,-131.4223
1383,9200,-130.4361
1415,9400,-149.1259
1446,9600,-141.1735
1480,9800,-136.3471
1513,10000,-128.7052
1544,10200,-149.0977
1576,10400,-138.9456
1608,10600,-125.9441
1640,10800,-138.4231
1672,11000,-126.5666
1705,11200,-144.6836
1737,11400,-126.9603
1769,11600,-162.9775
1801,11800,-140.2822
1834,12000,-125.037
1866,12200,-126.1391
1899,12400,-126.4448
1931,12600,-136.5456
1963,12800,-135.37
1995,13000,-124.2781
2027,13200,-137.0247
2060,13400,-135.1767
2092,13600,-132.5941
2124,13800,-123.3256
2155,14000,-139.9432
2187,14200,-146.1391
2218,14400,-137.5461
2251,14600,-132.5182
2282,14800,-148.3723
2314,15000,-125.7631
2346,15200,-146.3213
2378,15400,-123.6694
2410,15600,-135.2853
2442,15800,-133.1853
2475,16000,-130.9488
2507,16200,-122.0228
2540,16400,-120.4139
2573,16600,-120.9079
2606,16800,-119.8485
2639,17000,-130.82
2671,17200,-132.3956
2705,17400,-119.1053
