episode,timestep,reward
30,200,-206.2667
59,400,-196.4621
87,600,-151.3571
117,800,-178.6733
145,1000,-173.6214
172,1200,-152.9926
201,1400,-164.131
229,1600,-141.1143
256,1800,-172.6222
283,2000,-148.6741
310,2200,-130.8296
338,2400,-136.0786
367,2600,-161.4966
396,2800,-163.9448
427,3000,-131.5677
457,3200,-193.2933
488,3400,-165.2129
516,3600,-167.3714
545,3800,-135.0069
574,4000,-120.2621
603,4200,-125.6552
634,4400,-131.9742
662,4600,-124.3214
691,4800,-171.4966
721,5000,-131.5133
750,5200,-132.731
779,5400,-157.0069
808,5600,-120.0207
839,5800,-129.3742
869,6000,-128.46
899,6200,-139.1467
930,6400,-113.9806
960,6600,-139.8067
991,6800,-117.7161
1021,7000,-138.2333
1052,7200,-136.0516
1084,7400,-135.55
1116,7600,-123.3437
1148,7800,-110.1375
1179,8000,-150.7097
1210,8200,-128.2903
1242,8400,-111.175
1274,8600,-135.4438
1306,8800,-114.4937
1338,9000,-116.4562
1370,9200,-121.4812
1404,9400,-143.8353
1434,9600,-112.8933
1465,9800,-139.5935
1497,10000,-132.7688
1529,10200,-108.5875
1562,10400,-110.7576
1595,10600,-109.0061
1627,10800,-110.3938
1658,11000,-156.6452
1690,11200,-118.1813
1723,11400,-107.4364
1753,11600,-110.9667
1784,11800,-107.7355
1816,12000,-128.6063
1848,12200,-119.45
1880,12400,-110.4875
1912,12600,-108.975
1945,12800,-116.9697
1977,13000,-106.5375
2009,13200,-108.275
2042,13400,-106.7636
2075,13600,-106.9636
2108,13800,-116.6727
2141,14000,-103.3636
2174,14200,-105.3758
2206,14400,-115.4313
2239,14600,-104.9091
2272,14800,-106.2788
2305,15000,-104.5818
2337,15200,-104.0938
2370,15400,-115.4121
2403,15600,-103.5697
2436,15800,-103.9818
2469,16000,-103.3636
2502,16200,-102.2242
2534,16400,-137.125
2568,16600,-105.5824
2601,16800,-105.0424
2633,17000,-131.0625
2666,17200,-104.1212
2700,17400,-102.3176
2733,17600,-114.1455
2765,17800,-106.7312
2799,18000,-102.4176
2832,18200,-113.9333
2866,18400,-105.4294
2899,18600,-105.2303
2932,18800,-104.9758
2965,19000,-101.8424
2998,19200,-102.8909
3031,19400,-114.897
3063,19600,-104.175
3097,19800,-101.8588
3130,20000,-99.8
3163,20200,-111.9515
3196,20400,-99.8606
3229,20600,-102.9455
3262,20800,-101.2303
3295,21000,-101.503
3328,21200,-99.697
3361,21400,-99.2424
3394,21600,-98.1091
3427,21800,-98.6848
3460,22000,-110.0667
3494,22200,-98.9412
3527,22400,-99.4485
3560,22600,-99.6606
3593,22800,-110.6061
3627,23000,-99.0
3660,23200,-110.7758
3693,23400,-100.4364
3726,23600,-99.8485
3760,23800,-99.5471
3793,24000,-99.3091
3826,24200,-99.1636
3859,24400,-99.9394
3892,24600,-102.5212
3925,24800,-98.6485
3959,25000,-98.4353
3992,25200,-97.6121
4025,25400,-97.8545
4059,25600,-107.5353
4092,25800,-99.2909
4125,26000,-99.6242
4159,26200,-98.9882
4192,26400,-99.1394
4225,26600,-98.6061
4258,26800,-121.7818
4291,27000,-98.2
4325,27200,-101.0765
4359,27400,-99.4765
4392,27600,-98.7636
4426,27800,-109.3294
4460,28000,-98.3471
4493,28200,-98.0303
4526,28400,-97.5879
4560,28600,-98.1588
4593,28800,-97.2182
4627,29000,-97.5118
4660,29200,-97.7091
4693,29400,-97.5091
4726,29600,-110.1212
4760,29800,-97.8647
4793,30000,-98.0424
4826,30200,-98.0364
4860,30400,-98.6235
4893,30600,-101.5879
4926,30800,-98.2364
4959,31000,-97.3515
4993,31200,-97.3059
5026,31400,-97.6121
5060,31600,-107.9588
5093,31800,-97.4545
5126,32000,-97.8606
5160,32200,-98.0235
5193,32400,-97.7455
5226,32600,-97.3273
5260,32800,-98.4353
5293,33000,-98.0061
5326,33200,-97.4061
5359,33400,-99.0545
5392,33600,-99.7152
5426,33800,-97.8765
5459,34000,-98.8303
5492,34200,-97.7273
5526,34400,-97.7059
5558,34600,-99.9625
5591,34800,-98.497
5624,35000,-99.7152
5658,35200,-97.8882
5691,35400,-97.4485
5724,35600,-97.4303
5757,35800,-97.2667
5791,36000,-98.8824
5824,36200,-98.5333
5857,36400,-98.1212
5891,36600,-109.7588
5924,36800,-100.3576
5957,37000,-101.1273
5990,37200,-101.7455
6023,37400,-101.3152
6057,37600,-111.9353
6090,37800,-101.0364
6123,38000,-112.6182
6156,38200,-102.703
6189,38400,-104.0667
6223,38600,-112.7882
6256,38800,-103.2909
6289,39000,-103.1455
6322,39200,-112.8485
6355,39400,-102.6545
6388,39600,-101.1333
6421,39800,-111.8303
6454,40000,-111.1152
6488,40200,-98.5765
6521,40400,-99.3939
6554,40600,-99.2364
6587,40800,-102.6182
6620,41000,-99.9515
6653,41200,-97.5697
6687,41400,-109.8765
6720,41600,-98.7697
6753,41800,-112.1636
6786,42000,-99.503
6820,42200,-133.4588
6853,42400,-100.7879
6886,42600,-121.8667
6919,42800,-102.7576
6953,43000,-122.9529
6986,43200,-100.2242
7019,43400,-100.6788
7052,43600,-101.1697
7086,43800,-109.4059
7119,44000,-109.4242
7152,44200,-98.097
7185,44400,-97.9939
7219,44600,-107.3647
7252,44800,-97.0667
7285,45000,-97.3818
7319,45200,-96.0471
7352,45400,-97.4485
7385,45600,-95.697
7418,45800,-93.7879
7452,46000,-93.6529
7485,46200,-93.5879
7518,46400,-141.103
7550,46600,-92.8875
7584,46800,-94.0235
7616,47000,-105.7688
7649,47200,-104.7273
7682,47400,-96.1636
7715,47600,-93.7576
7748,47800,-103.9394
7780,48000,-107.6625
7814,48200,-93.8471
7846,48400,-95.6437
7878,48600,-107.1875
7909,48800,-98.0387
7942,49000,-107.4848
7975,49200,-95.1636
8007,49400,-94.55
8040,49600,-93.3939
8073,49800,-106.3697
8105,50000,-95.7875
8138,50200,-95.9697
8170,50400,-96.2938
8204,50600,-104.8882
8237,50800,-93.6061
8270,51000,-94.8
8303,51200,-104.7879
8336,51400,-96.097
8369,51600,-93.897
8402,51800,-153.6242
8435,52000,-121.2303
8468,52200,-93.7636
8501,52400,-134.2485
8534,52600,-99.1818
8568,52800,-124.9176
8601,53000,-99.6242
8634,53200,-111.703
8667,53400,-99.7394
8700,53600,-112.5394
8733,53800,-111.4727
8767,54000,-99.6588
8800,54200,-95.7939
8833,54400,-94.5152
8866,54600,-106.4121
8900,54800,-94.6765
8933,55000,-93.8909
8966,55200,-93.2303
8999,55400,-93.3515
9032,55600,-107.9515
9064,55800,-107.875
9097,56000,-94.0121
9131,56200,-94.6529
9164,56400,-104.097
9197,56600,-93.0364
9230,56800,-94.6606
9264,57000,-94.7824
9297,57200,-93.9394
9330,57400,-93.6364
9364,57600,-92.6824
9397,57800,-92.0485
9430,58000,-93.2242
9464,58200,-91.5588
9497,58400,-93.6121
9530,58600,-92.5939
9563,58800,-105.0364
9597,59000,-92.4706
9630,59200,-94.7697
9663,59400,-93.1212
9697,59600,-92.7059
9730,59800,-93.4
9763,60000,-93.6848
9796,60200,-93.2485
9829,60400,-93.3818
9862,60600,-92.5212
9896,60800,-93.0
9929,61000,-91.7879
9962,61200,-92.2667
9995,61400,-92.4242
10029,61600,-91.9941
10062,61800,-94.1333
10095,62000,-92.7333
10127,62200,-93.9563
10161,62400,-93.4059
10194,62600,-91.6
10227,62800,-92.9212
10260,63000,-96.6182
10293,63200,-94.4182
10326,63400,-119.5818
10359,63600,-93.0485
10391,63800,-101.0125
10423,64000,-96.8063
10456,64200,-94.9636
10489,64400,-93.8242
10522,64600,-93.2
10555,64800,-93.4364
10588,65000,-93.2545
10621,65200,-92.3091
10654,65400,-94.0848
10687,65600,-92.1515
10720,65800,-95.697
10753,66000,-93.6424
10786,66200,-93.2848
10820,66400,-91.3588
10853,66600,-91.7212
10886,66800,-105.1758
10919,67000,-91.6545
10952,67200,-104.9091
10985,67400,-96.297
11018,67600,-93.6
11051,67800,-95.0182
11085,68000,-92.1706
11117,68200,-97.15
