episode,timestep,reward
30,200,-213.5267
63,400,-221.2121
94,600,-167.6258
124,800,-177.14
154,1000,-203.1933
184,1200,-129.1267
214,1400,-159.1733
244,1600,-193.7533
274,1800,-173.6333
305,2000,-140.0581
336,2200,-162.0839
366,2400,-155.9933
397,2600,-208.871
427,2800,-179.4867
456,3000,-156.1517
484,3200,-123.9571
513,3400,-133.8069
542,3600,-139.9655
570,3800,-150.7429
601,4000,-186.4194
630,4200,-165.7172
659,4400,-183.7034
688,4600,-147.1793
717,4800,-174.1931
745,5000,-152.2143
774,5200,-149.0621
801,5400,-141.2519
830,5600,-172.1379
859,5800,-123.8138
887,6000,-124.8
915,6200,-134.9357
944,6400,-129.7931
975,6600,-163.7806
1002,6800,-166.3185
1030,7000,-122.5571
1060,7200,-132.4
1090,7400,-130.54
1119,7600,-155.0069
1148,7800,-145.7034
1177,8000,-116.8483
1208,8200,-141.0645
1236,8400,-150.65
1267,8600,-140.1613
1298,8800,-139.2258
1327,9000,-129.9724
1355,9200,-132.1929
1385,9400,-130.3933
1415,9600,-115.5267
1444,9800,-127.8621
1475,10000,-129.4452
1505,10200,-140.3133
1534,10400,-130.6828
1565,10600,-110.0516
1595,10800,-127.04
1623,11000,-140.5571
1654,11200,-130.1871
1683,11400,-137.5241
1713,11600,-115.2533
1742,11800,-117.3103
1772,12000,-116.46
1803,12200,-124.3226
1835,12400,-122.75
1864,12600,-153.6276
1895,12800,-148.0387
1924,13000,-127.8069
1955,13200,-122.6065
1985,13400,-123.2733
2016,13600,-133.8
2046,13800,-110.8867
2077,14000,-112.1677
2107,14200,-146.8067
2139,14400,-131.5188
2170,14600,-111.0194
2202,14800,-121.5062
2232,15000,-111.6867
2262,15200,-125.5533
2293,15400,-109.8581
2323,15600,-125.98
2354,15800,-108.7806
2383,16000,-125.5103
2412,16200,-116.0345
2443,16400,-113.8452
2473,16600,-111.3533
2505,16800,-118.6313
2537,17000,-106.3813
2569,17200,-119.7375
2600,17400,-108.3355
2632,17600,-107.1313
2663,17800,-143.9032
2694,18000,-123.1935
2725,18200,-120.8258
2757,18400,-106.4
2788,18600,-121.0323
2819,18800,-134.5935
2851,19000,-116.7
2884,19200,-108.1515
2915,19400,-118.5871
2948,19600,-118.3152
2981,19800,-115.1333
3014,20000,-105.8848
3047,20200,-106.5394
3080,20400,-104.2788
3112,20600,-105.9937
3144,20800,-116.775
3176,21000,-105.925
3210,21200,-115.4
3242,21400,-104.4313
3274,21600,-104.6125
3307,21800,-113.8727
3340,22000,-114.3394
3372,22200,-104.2688
3405,22400,-104.303
3437,22600,-114.0875
3470,22800,-135.4424
3503,23000,-101.8182
3536,23200,-126.0485
3569,23400,-112.7758
3601,23600,-163.3313
3634,23800,-103.4727
3667,24000,-101.2
3700,24200,-112.9455
3734,24400,-102.1
3767,24600,-102.2788
3799,24800,-136.6563
3831,25000,-102.6625
3864,25200,-102.3394
3897,25400,-124.4121
3930,25600,-123.6364
3963,25800,-101.1697
3996,26000,-100.4242
4029,26200,-102.1152
4062,26400,-113.5758
4095,26600,-101.4727
4128,26800,-123.503
4160,27000,-124.75
4193,27200,-102.8667
4226,27400,-101.3576
4259,27600,-103.0061
4291,27800,-113.6187
4324,28000,-102.103
4357,28200,-101.0606
4389,28400,-103.2438
4421,28600,-116.15
4453,28800,-101.225
4486,29000,-112.6182
4519,29200,-116.2242
4551,29400,-104.2438
4582,29600,-105.929
4614,29800,-114.375
4646,30000,-105.0312
4678,30200,-102.1938
4711,30400,-124.5818
4744,30600,-101.4788
4776,30800,-128.1
4808,31000,-102.1812
4841,31200,-112.8121
4874,31400,-102.2
4906,31600,-102.9438
4938,31800,-126.0563
4971,32000,-112.0121
5003,32200,-136.775
5036,32400,-124.7576
5069,32600,-102.503
5101,32800,-102.2375
5134,33000,-101.2061
5167,33200,-101.6242
5199,33400,-113.275
5232,33600,-136.4182
5264,33800,-103.3875
5297,34000,-126.297
5330,34200,-102.3394
5363,34400,-102.4545
5395,34600,-125.2875
5427,34800,-102.5313
5461,35000,-100.8824
5494,35200,-113.3515
5526,35400,-115.3937
5558,35600,-104.2938
5591,35800,-112.8727
5624,36000,-101.8667
5657,36200,-102.4424
5690,36400,-113.2364
5722,36600,-113.5938
5755,36800,-101.3939
5787,37000,-101.1313
5821,37200,-112.0529
5853,37400,-113.3562
5887,37600,-101.4647
5919,37800,-102.2563
5951,38000,-102.9813
5984,38200,-111.3939
6017,38400,-113.4545
6050,38600,-123.7273
6083,38800,-123.8182
6116,39000,-99.497
6150,39200,-109.4647
6183,39400,-99.3212
6216,39600,-111.303
6249,39800,-98.8909
6282,40000,-99.2485
6315,40200,-101.8061
6348,40400,-123.3697
6381,40600,-99.7152
6413,40800,-100.8375
6447,41000,-101.1941
6479,41200,-113.4312
6511,41400,-102.2813
6544,41600,-100.7939
6577,41800,-112.3818
6610,42000,-99.2788
6643,42200,-112.0606
6675,42400,-103.4563
6708,42600,-148.3455
6741,42800,-114.7758
6775,43000,-113.0706
6807,43200,-118.4063
6840,43400,-102.4606
6872,43600,-101.5625
6905,43800,-101.1879
6938,44000,-101.3212
6970,44200,-100.6187
7001,44400,-117.7613
7031,44600,-105.4867
7063,44800,-102.4062
7094,45000,-101.8903
7126,45200,-103.45
7159,45400,-101.0848
7191,45600,-113.8938
7223,45800,-102.6312
7255,46000,-125.0312
7288,46200,-98.9455
7321,46400,-112.9636
7353,46600,-100.3375
7385,46800,-101.35
7418,47000,-122.2485
7451,47200,-112.0303
7483,47400,-102.325
7516,47600,-103.3697
7548,47800,-101.7313
7581,48000,-100.9273
7614,48200,-100.7152
7646,48400,-116.2687
7677,48600,-115.7419
7710,48800,-99.9152
7742,49000,-103.4125
7774,49200,-103.2
7807,49400,-102.3818
7838,49600,-103.7806
7870,49800,-125.4875
7901,50000,-105.1097
7932,50200,-113.7161
7964,50400,-115.0187
7997,50600,-100.5394
8030,50800,-100.6
8061,51000,-101.1355
8093,51200,-126.6375
8126,51400,-101.8848
8158,51600,-102.2375
8191,51800,-101.4667
8223,52000,-124.2125
8255,52200,-112.2937
8288,52400,-101.0121
8321,52600,-101.6182
8353,52800,-102.525
8386,53000,-101.3455
8419,53200,-113.9636
8451,53400,-102.0812
8483,53600,-102.2
8515,53800,-114.8812
8548,54000,-100.697
8580,54200,-101.2625
8612,54400,-102.6937
8645,54600,-125.6182
8677,54800,-112.9875
8709,55000,-137.95
8742,55200,-100.4485
8774,55400,-113.2625
8807,55600,-136.5333
8840,55800,-123.2485
8873,56000,-110.6303
8906,56200,-100.8606
8938,56400,-100.9375
8970,56600,-112.2938
9002,56800,-102.4875
9035,57000,-113.3394
9068,57200,-123.3576
9101,57400,-100.4
9134,57600,-101.4788
9165,57800,-101.929
9198,58000,-100.7333
9231,58200,-99.697
9264,58400,-99.7333
9296,58600,-113.3875
9328,58800,-103.9375
9361,59000,-105.5333
9393,59200,-124.8
9425,59400,-102.775
9459,59600,-101.8882
9491,59800,-102.175
9523,60000,-113.9437
9555,60200,-114.3625
9587,60400,-102.9125
9619,60600,-128.2375
9651,60800,-123.0375
9684,61000,-104.6606
9716,61200,-99.0812
9750,61400,-111.8706
9783,61600,-110.7273
9815,61800,-124.4125
9847,62000,-103.575
9880,62200,-100.8606
9913,62400,-99.5636
9945,62600,-123.925
9977,62800,-101.1875
10009,63000,-137.8
10042,63200,-101.7455
10074,63400,-112.95
10107,63600,-101.0606
10139,63800,-125.8187
10172,64000,-111.9152
10204,64200,-101.7937
10237,64400,-115.4242
10270,64600,-102.3879
10303,64800,-101.3939
10335,65000,-103.75
10368,65200,-127.9697
10400,65400,-101.4125
10432,65600,-115.9625
10466,65800,-100.9588
10498,66000,-101.2687
10531,66200,-124.4121
10563,66400,-123.875
10596,66600,-115.7394
10628,66800,-113.8687
10661,67000,-101.303
10694,67200,-113.2364
10727,67400,-101.103
10759,67600,-103.425
10792,67800,-101.8182
10824,68000,-114.1312
10856,68200,-113.0812
10889,68400,-112.4364
10922,68600,-101.3879
